nazwa,id,liczbaCzlonkow,email,fax
Prawo i Sprawiedliwość,PiS,188,kp-pis@kluby.sejm.pl,(22) 694-26-11
Koalicja Obywatelska,KO,156,kp-ko@kluby.sejm.pl,(22) 694-26-36
Polskie Stronnictwo Ludowe,PSL,32,kp-psl@kluby.sejm.pl,(22) 694 23 21 
Polska2050,Polska2050,31,kp-polska2050@kluby.sejm.pl,(22) 694-29-12
Lewica,Lewica,21,kp-lewica@kluby.sejm.pl,(22) 694-28-16
Konfederacja,Konfederacja,16,,(22) 694-29-31
Posłowie niezrzeszeni,niez.,5,,(22) 694-15-34
Razem,Razem,4,,(22) 694-14-41
Wolni Republikanie,Republikanie,4,kp-wolnirepublikanie@kluby.sejm.pl,(22) 694-28-20
Konfederacja Korony Polskiej,Konfederacja_KP,3,kolokkp@kluby.sejm.pl,(22) 694-26-24
