id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
0,Andrzej Adamczyk,PiS,1959-01-04,67,Krzeszowice,M,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowość i Finanse w Zarządzaniu - licencjat (2014)",wyższe,licencjat,0,ekonomista,13,Kraków,małopolskie,45171,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
1,Piotr Adamowicz,KO,1961-06-26,64,Elbląg,M,VI Liceum Ogólnokształcące w Gdańsku (1980),średnie ogólne,,0,dziennikarz,25,Gdańsk,pomorskie,23147,poseł na Sejm RP IX kadencji,2,True,,,
2,Adam Andruszkiewicz,PiS,1990-06-30,35,Grajewo,M,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki Międzynarodowe - magister (2014)",wyższe,magister,0,parlamentarzysta,24,Białystok,podlaskie,53632,poseł na Sejm RP VIII i IX kadencji,3,False,Zrzeczenie,Powołany na stanowisko Sekretarza Stanu i Zastępcy Szefa Kancelarii Prezydenta RP,Objęcie funkcji w administracji centralnej
3,Waldemar Andzel,PiS,1971-09-17,54,Czeladź,M,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996) Uniwersytet Śląski, Organizacja Pomocy Społecznej (1999) - studia podyplomowe Akademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe",wyższe,magister,2,politolog,32,Katowice,śląskie,22699,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
4,Dorota Arciszewska-Mielewczyk,PiS,1968-02-16,57,Gdynia,K,"Uniwersytet Gdański, Wydział Ekonomiki Transportu, Ekonomia - magister (1992) Wyższa Szkoła Morska w Gdyni, Wydział Administracji, Organizacja i eksploatacja statków i portów - magister (1994) Wyższa Szkoła Handlu i Usług w Poznaniu, Executive MBA Master of Business Administration (2020) - studia podyplomowe",wyższe,magister,1,"ekonomista, menedżer",26,Słupsk,pomorskie,11766,"poseł na Sejm RP III, IV, VII i VIII kadencji, senator VI i VII kadencji",5,True,,,
5,Jan Krzysztof Ardanowski,Republikanie,1961-02-11,64,Czernikowo,M,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",wyższe,magister inżynier,0,rolnik,5,Toruń,kujawsko-pomorskie,28658,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
6,Iwona Ewa Arent,PiS,1968-06-04,57,Olsztyn,K,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i Nauki Społeczne - magister (1999) Uniwersytet Warmińsko-Mazurski, Rachunkowość (2002) - studia podyplomowe Collegium Civitas pod patronatem Studiów Politycznych PAN, Stosunki Międzynarodowe i Dyplomacja (2012) - studia podyplomowe WSHIU Akademia Nauk Stosowanych w Poznaniu, EMBA (2023) - studia podyplomowe",wyższe,magister,3,politolog,35,Olsztyn,warmińsko-mazurskie,16675,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
7,Bartosz Arłukowicz,KO,1971-12-30,54,Resko,M,"Pomorski Uniwersytet Medyczny, Wydział Lekarski, Lekarski - lekarz (1996) Uniwersytet Szczeciński, MBA (2007) - studia podyplomowe",wyższe,lekarz,1,lekarz,40,Koszalin,zachodniopomorskie,67325,"poseł na Sejm RP VI, VII i VIII kadencji",4,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
8,Marek Ast,PiS,1958-09-27,67,Zielona Góra,M,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)",wyższe,magister,0,"pracownik samorządowy, radca prawny, urzędnik państwowy",8,Zielona Góra,lubuskie,36365,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
9,Urszula Augustyn,KO,1964-09-01,61,Tarnów,K,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia Polska - magister (1990)",wyższe,magister,0,dziennikarz,15,Tarnów,małopolskie,27047,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
